Date,gdp_growth
1996-01-01,1.3846724727405668
1996-04-01,1.5541125428536915
1996-07-01,1.6915203027826786
1996-10-01,1.8403339848503508
1997-01-01,2.002966357286118
1997-04-01,2.49614798783917
1997-07-01,2.8429193622355298
1997-10-01,3.4634734061208095
1998-01-01,3.8693542168138473
1998-04-01,3.039190586014362
1998-07-01,2.761754137100092
1998-10-01,1.7758506649736994
1999-01-01,2.1680038373899757
1999-04-01,2.269971469196541
1999-07-01,2.934005406910667
1999-10-01,3.954449234669743
2000-01-01,4.213762946861044
2000-04-01,4.584524463266604
2000-07-01,3.9497948261323135
2000-10-01,3.419545967163651
2001-01-01,3.1523343444570084
2001-04-01,2.3313074287247826
2001-07-01,1.859499098361672
2001-10-01,1.2391460471930626
2002-01-01,0.3931470537500203
2002-04-01,0.846564050189258
2002-07-01,1.1134372782990898
2002-10-01,1.295895406477654
2003-01-01,0.8540576786028042
2003-04-01,0.3528141313371202
2003-07-01,0.5771351351039788
2003-10-01,1.07085477708877
2004-01-01,1.853876195641413
2004-04-01,2.423707661217067
2004-07-01,2.048988657081585
2004-10-01,1.7815305104000425
2005-01-01,1.4715024824522915
2005-04-01,1.4996573798065072
2005-07-01,2.0572046533127164
2005-10-01,2.272317932479617
2006-01-01,2.941818748830971
2006-04-01,3.50705077006892
2006-07-01,3.3047092054636185
2006-10-01,3.841427453825541
2007-01-01,3.601355184488364
2007-04-01,3.151045123032836
2007-07-01,2.961236157220992
2007-10-01,2.306645382714745
2008-01-01,2.2753692832717887
2008-04-01,1.1187421989788504
2008-07-01,0.1542221868884308
2008-10-01,-2.126679724075609
2009-01-01,-5.68330032791412
2009-04-01,-5.363706206784602
2009-07-01,-4.508847236106428
2009-10-01,-2.295587271891275
2010-01-01,1.184781528039558
2010-04-01,2.2616438945562756
2010-07-01,2.323645451417544
2010-10-01,2.42002287450922
2011-01-01,2.992542709221535
2011-04-01,1.9890731162142792
2011-07-01,1.6617017179511473
2011-10-01,0.6892226687099878
2012-01-01,-0.5013781919951721
2012-04-01,-0.8324072982217712
2012-07-01,-1.029149504583582
2012-10-01,-1.0484390376067965
2013-01-01,-1.177656108029479
2013-04-01,-0.246794501137304
2013-07-01,0.1684137470302715
2013-10-01,0.896239641443497
2014-01-01,1.6676154405683483
2014-04-01,1.2476669724157174
2014-07-01,1.4013164612561413
2014-10-01,1.436096430273559
2015-01-01,1.652969538406901
2015-04-01,1.9532542021167387
2015-07-01,1.8779856574451692
2015-10-01,2.0226697880612265
2016-01-01,1.8874787527239256
2016-04-01,1.663193117359496
2016-07-01,1.695453404057079
2016-10-01,1.9351403070845263
2017-01-01,2.216173155494605
2017-04-01,2.7060281149084986
2017-07-01,3.034160841979805
2017-10-01,3.064793414526812
2018-01-01,2.287301877709713
2018-04-01,1.998448632057892
2018-07-01,1.2577340758958
2018-10-01,1.1820428717616016
2019-01-01,1.867640150480332
2019-04-01,1.725726917786874
2019-07-01,1.8794121358317373
2019-10-01,1.185924676213146
2020-01-01,-2.8631053394992056
2020-04-01,-13.948850984719662
2020-07-01,-4.0340673584858155
2020-10-01,-3.9259299937926984
2021-01-01,-0.2029513502182167
2021-04-01,14.863347523453886
2021-07-01,4.901822980319048
2021-10-01,5.373727375482007
2022-01-01,5.5788663038998765
2022-04-01,4.1176842492507415
2022-07-01,2.5153056621476155
2022-10-01,1.8641895387564889
2023-01-01,1.2696126984804934
2023-04-01,0.5054494955477828
2023-07-01,0.1014940265654296
2023-10-01,0.1659423309956498
2024-01-01,0.4434996128581892
